;;TEST NEARK_COMPARE_EM: Tue Mar  1 01:36:35 2022
;;[CLasses]:
;;[6CMTreeI15EuclidianPointGIfLj10EE15EuclidianMetricE],[15EuclidianMetric, ]
DiffCnt,name,MADI,dim,dbSize,nQueries,maxResults,nfound,aveNfound,Pivot,Partition,nodesVisited,numDistCalls,
0,CMT,17,10,100000,1000,1,1000,1,RAN,BOM,30.137,15.726,15.72616265.4
;;TEST NEARK_COMPARE_EM: Tue Mar  1 01:38:15 2022
;;[CLasses]:
;;[6CMTreeI15EuclidianPointGIfLj10EE15EuclidianMetricE],[15EuclidianMetric, ]
DiffCnt,name,MADI,dim,dbSize,nQueries,maxResults,nfound,aveNfound,Pivot,Partition,nodesVisited,numDistCalls,
0,CMT,17,10,100000,1000,5,5000,5,RAN,BOM,10662.5,6548.4,1309.686021.67
;;TEST NEARK_COMPARE_EM: Tue Mar  1 01:40:49 2022
;;[CLasses]:
;;[6CMTreeI15EuclidianPointGIfLj10EE15EuclidianMetricE],[15EuclidianMetric, ]
DiffCnt,name,MADI,dim,dbSize,nQueries,maxResults,nfound,aveNfound,Pivot,Partition,nodesVisited,numDistCalls,
0,CMT,17,10,100000,1000,1,1000,1,RAN,BOM,30.137,15.726,15.72616265.4
;;TEST NEARK_COMPARE_EM: Tue Mar  1 01:42:23 2022
;;[CLasses]:
;;[6CMTreeI15EuclidianPointGIfLj10EE15EuclidianMetricE],[15EuclidianMetric, ]
DiffCnt,name,MADI,dim,dbSize,nQueries,maxResults,nfound,aveNfound,Pivot,Partition,nodesVisited,numDistCalls,
0,CMT,17,10,100000,1000,5,5000,5,RAN,BOM,10662.5,6548.4,1309.686021.67
;;TEST NEARK_COMPARE_EM: Tue Mar  1 01:44:13 2022
;;[CLasses]:
;;[6CMTreeI15EuclidianPointGIfLj10EE15EuclidianMetricE],[15EuclidianMetric, ]
DiffCnt,name,MADI,dim,dbSize,nQueries,maxResults,nfound,aveNfound,Pivot,Partition,nodesVisited,numDistCalls,
0,CMT,17,10,100000,1000,10,10000,10,RAN,BOM,14297.9,9065.62,906.5623416.56
;;TEST NEARK_COMPARE_EM: Tue Mar  1 01:52:46 2022
;;[CLasses]:
;;[6CMTreeI15EuclidianPointGIfLj10EE15EuclidianMetricE],[15EuclidianMetric, ]
DiffCnt,name,MADI,dim,dbSize,nQueries,maxResults,nfound,aveNfound,Pivot,Partition,nodesVisited,numDistCalls,
0,CMT,17,10,100000,1000,1,1000,1,RAN,BOM,30.137,15.726,15.726,16265.4
;;TEST NEARK_COMPARE_EM: Tue Mar  1 01:54:19 2022
;;[CLasses]:
;;[6CMTreeI15EuclidianPointGIfLj10EE15EuclidianMetricE],[15EuclidianMetric, ]
DiffCnt,name,MADI,dim,dbSize,nQueries,maxResults,nfound,aveNfound,Pivot,Partition,nodesVisited,numDistCalls,
0,CMT,17,10,100000,1000,5,5000,5,RAN,BOM,10662.5,6548.4,1309.68,6021.67
;;TEST NEARK_COMPARE_EM: Tue Mar  1 01:56:09 2022
;;[CLasses]:
;;[6CMTreeI15EuclidianPointGIfLj10EE15EuclidianMetricE],[15EuclidianMetric, ]
DiffCnt,name,MADI,dim,dbSize,nQueries,maxResults,nfound,aveNfound,Pivot,Partition,nodesVisited,numDistCalls,
0,CMT,17,10,100000,1000,10,10000,10,RAN,BOM,14297.9,9065.62,906.562,3416.56
